name,latitude,longitude,避難対象_洪水,避難対象_崖崩れ、土石流及び地滑り,避難対象_高潮,避難対象_地震,避難対象_津波,避難対象_大規模な火事,避難対象_内水氾濫,避難対象_火山現象,エレベーター有/避難スペースが１階,スロープ等,点字ブロック,だれでもトイレ,その他
北の丸公園,35.69198,139.750564,0,0,0,1,0,0,0,0,0,0,0,0,
皇居東御苑,35.686863,139.757162,0,0,0,1,0,0,0,0,0,0,0,0,
皇居外苑,35.680258,139.757693,0,0,0,1,0,0,0,0,0,0,0,0,
日比谷公園,35.673576,139.755893,0,0,0,1,0,0,0,0,0,0,0,0,
真田堀運動場,35.68278,139.731059,0,0,0,1,0,0,0,0,0,0,0,0,
外濠公園,35.68864,139.73097,0,0,0,1,0,0,0,0,0,0,0,0,
京橋区民館,35.676558,139.771358,1,0,1,1,0,0,1,0,1,1,0,1,自動ドア
京橋プラザ,35.673233,139.771678,1,0,1,1,0,0,1,0,1,1,1,1,自動ドア
泰明小学校,35.672333,139.761326,1,0,1,1,0,0,1,0,0,0,0,0,
銀座中学校,35.665698,139.765034,1,0,1,1,0,0,1,0,0,1,0,1,
中央小学校,35.672201,139.778753,1,0,1,1,0,0,1,0,1,1,1,1,オストメイト設備
明石小学校,35.668438,139.776409,1,0,1,1,0,0,1,0,1,1,1,1,オストメイト設備
京橋築地小学校,35.667959,139.771414,1,0,1,1,0,0,1,0,0,1,0,1,
京華スクエア,35.674903,139.775664,1,0,1,1,0,0,1,0,1,1,1,1,自動ドア
明正小学校,35.67597,139.781569,1,0,1,1,0,0,1,0,1,1,1,1,オストメイト設備
常盤小学校,35.688476,139.770558,1,0,1,1,0,0,1,0,0,1,0,0,
十思スクエア,35.690646,139.777104,1,0,1,1,0,0,1,0,1,1,1,1,自動ドア
日本橋小学校,35.684677,139.78141,1,0,1,1,0,0,1,0,1,1,0,1,
有馬小学校,35.683272,139.787993,1,0,1,1,0,0,1,0,1,1,0,1,
